Vertical,Sistema,Tema,Quantidade
"Educação","Educação","Configuração das matrículas",4
"Pessoal","Folha (Cloud)","Cadastro de Vínculos Empregatícios",4
"Contratos","Frotas (Cloud)","Funcionários",4
"Arrecadação","Procuradoria (Cloud)","Script",4
"Contábil","Contabilidade (Cloud)","Ferramenta de assinaturas",4
"Educação","Biblioteca (Cloud)","Pesquisa de materiais",4
"Pessoal","Recursos Humanos (Cloud)","Controle de Vale Alimentação",4
"Contratos","Contratos (Cloud)","Materiais e serviços",4
"Pessoal","Folha (Cloud)","Informações bancárias",4
"Pessoal","Pontual (Cloud)","Visão Geral",4
"Atendimento","Transparência (Cloud)","Gráficos",4
"Contábil","Contabilidade (Cloud)","Lançamento de Receita",4
"Arrecadação","Tributos (Cloud)","Notificações de Lançamentos",4
"Pessoal","Folha (Cloud)","Configuração do bloqueio do acesso",4
"Contratos","Monitor DF-e","NFS-e emitidas",4
"Contábil","Transparência (Cloud)","Filtros de consultas",4
"Arrecadação","Tributos (Cloud)","Relatório Opções de BCI (Espelho Cadastral de Imóveis)",4
"Contratos","Monitor DF-e","Alerta e Notificações",4
"Contratos","Compras (Cloud)","Fundamentos legais",4
"Educação","Biblioteca (Cloud)","Títulos",4
"Arrecadação","Tributos (Cloud)","Configuração Solicitação de Transferência de Imóvel",4
"Contábil","Contabilidade (Cloud)","Gerenciador de eventos",4
"Educação","Educação","Frequências escolares",4
"ISS","Livro Eletrônico (Cloud)","Gerar Lançamento Tributário",4
"Contratos","Compras (Cloud)","Agências Bancárias",4
"Arrecadação","Tributos (Cloud)","Localidades",4
"Contábil","Transparência (Cloud)","Modelos de dados",4
"Atendimento","Cidadão Web 4 (Fly)","Emissão de Alvará de Licença de Localização e/ou Funcionamento",4
"ISS","Livro Eletrônico","Módulo Fiscal >> Cadastros >> Contribuintes",4
"ISS","e-Nota Fly","Característica geral",4
"Contratos","Compras (Cloud)","Interação com o Compras Net",4
"Pessoal","Folha (Cloud)","Motivos de alterações salariais",4
"Pessoal","Minha Folha","Ficha funcional",4
"Arrecadação","Tributos (Cloud)","Junta comercial",4
"Saúde","Saúde (Cloud)","Profissionais",4
"Pessoal","Folha (Cloud)","Pesquisa de relatórios",4
"Atendimento","Cidadão Web 4 (Fly)","Configuração de Alvará de Licença de Localização e/ou Funcionamento",4
"Contratos","Compras (Cloud)","Geração arquivos TCE-SC (e-Sfinge)",4
"Pessoal","Folha (Cloud)","Configuração de rescisões",4
"Pessoal","Folha (Cloud)","Integração com o Transparência Fly",4
"Arrecadação","Tributos (Cloud)","Configuração de econômicos",4
"Contábil","Contabilidade (Cloud)","Organogramas",4
"Arrecadação","Tributos (Cloud)","Receitas",4
"Arrecadação","Tributos (Cloud)","Listagem de ITBI",4
"Contábil","Contabilidade (Cloud)","Relação de Empenhos",4
"Contábil","Contabilidade (Cloud)","Infraestrutura",4
"Pessoal","Folha (Cloud)","Favoritar relatórios",4
"ISS","Livro Eletrônico (Cloud)","Alteração Cadastral",4
"Pessoal","Ponto (Cloud)","Afastamento",4
"Contratos","Contratos (Cloud)","Geração arquivos TCE-PR (SIM-AM)",4
"Plataforma","Admin","Cadastro de Licenças",4
"Contábil","Contabilidade (Cloud)","Matriz de Saldos Contábeis",4
"Arrecadação","Procuradoria (Cloud)","Guias",4
"Pessoal","Folha (Cloud)","Pesquisa de matrículas",4
"Contábil","Convênios","Nova rotina",4
"Contábil","Contabilidade (Cloud)","Extrato da despesa",4
"Arrecadação","Procuradoria (Cloud)","Service Layer",4
"Contratos","Patrimônio (Cloud)","Cessão de Bens",4
"Contratos","Compras (Cloud)","Gerar Ata de Registro de Preço",4
"Contábil","Contabilidade (Cloud)","Prestação de Contas de Adiantamentos",4
"Contábil","Transparência (Cloud)","Nova rotina",4
"Arrecadação","Tributos (Cloud)","Relatório histórico dos imóveis",4
"Pessoal","Ponto (Cloud)","Cadastro de Matrícula",4
"Contábil","Contabilidade (Cloud)","[VG] Nota de Liquidação com Descontos",4
"Arrecadação","Tributos (Cloud)","Encerramento Mensal",4
"Pessoal","Folha (Cloud)","Relatório da Ficha Cadastral",4
"Atendimento","Protocolo Fly","Abertura de Protocolo",4
"Pessoal","Minha Folha","Mural",4
"Contábil","Tesouraria (Cloud)","Críticas de usuários",4
"Arrecadação","Tributos (Cloud)","Relatório de Conferência Contábil",4
"Pessoal","eSocial","Relatórios de domínios integrados",4
"Pessoal","Ponto (Cloud)","Manutenção de ocorrências",4
"Pessoal","Ponto (Cloud)","Relógios de ponto",4
"Pessoal","Folha (Cloud)","Relatório Ficha Financeira",4
"Contábil","Contabilidade (Cloud)","Balancete da Receita",4
"Contábil","Planejamento (Cloud)","Alteração Orçamentária da Despesa",4
"Plataforma","Documentos","Documentos compartilhados",4
"Educação","Educação","Configuração da lista de espera",4
"Pessoal","Pontual (Cloud)","Relatório de marcações",4
"Plataforma","Documentos","Acompanhar assinaturas",4
"Atendimento","Cidadão Web 4 (Fly)","Dados de Configurações de Parcelas",4
"Atendimento","Cidadão Web 4 (Fly)","Validação de Documentos",4
"Pessoal","Folha (Cloud)","Pagamento de RRA - Rendimentos Recebidos Acumuladamente",4
"Arrecadação","Tributos (Cloud)","Notificação de Débitos",4
"Arrecadação","Tributos (Cloud)","Certidão Negativa de Débitos - Imóvel",4
"ISS","Livro Eletrônico","Dados da Guia de Pagamento",4
"Pessoal","Minha Folha","Configuração de liberação de recibos",4
"Contratos","Obras","APIs Integrações",4
"ISS","e-Nota (Cloud)","Integração com a Nota Nacional",4
"Pessoal","eSocial","Domínios Integrados",4
"Atendimento","Cidadão Web 4 (Fly)","API",4
"Arrecadação","Tributos (Cloud)","Manutenção em lote do cadastro imobiliário",4
"Atendimento","Protocolo (Cloud)","Característica geral protocolo",4
"Atendimento","Documentos","Documentos compartilhados",4
"ISS","Gestão Fiscal","Exportar/Importar dados do Cartão de Crédito e Débito",4
"Contábil","Contabilidade (Cloud)","Anulação de Pagamento de Empenho",4
"ISS","e-Nota (Cloud)","Cadastro de convênios bancários",4
"ISS","e-Nota Fly","Compartilhamento Nota nacional",4
"Não informada","Portal de Serviços","Nova rotina",4
"ISS","e-Nota Fly","Visualizar PDF da nota fiscal",4
"Contratos","Frotas (Mobile)","Outros",4
"Contábil","Controladoria","Outros",4
"Atendimento","Conecta","Outros",4
"Arrecadação","Fatura","Cálculo de Faturas",3
"Arrecadação","Fatura","Cadastro de Ligações",3
"ISS","e-Nota (Cloud)","Relatório de Adesão ao Sistema",3
"ISS","e-Nota (Cloud)","Cadastro da lista de serviços",3
"Atendimento","Minha Cidade","Imóvel",3
"ISS","Gestão Fiscal","Movimentação Financeira",3
"Saúde","Saúde Domiciliar (Mobile)","Saúde",3
"ISS","e-Nota (Cloud)","Manutenções fiscais",3
"Arrecadação","Procuradoria (Cloud)","Intimação Eletrônica",3
"ISS","Livro Eletrônico (Cloud)","Declaração por contas de serviços - Livro Eletrônico (Padrão)",3
"Educação","Educação","Cadastro de Alunos",3
"Educação","Transporte Escolar","Gestão de Usuários do Transporte",3
"Pessoal","Ferramentas","Betha ISQL",3
"Pessoal","Ferramentas","Não existe",3
"Arrecadação","Tributos (Cloud)","Cálculo (Homologação)",3
"Pessoal","Ferramentas","ArqJob",3
"Atendimento","Minha Cidade","Alvará",3
"Educação","Educação","Instrumentos de avaliação",3
"Educação","Educação","Disciplinas",3
"Contratos","Almoxarifado","Material",3
"ISS","Livro Eletrônico (Cloud)","Livro",3
"Educação","Educação","Turma",3
"Pessoal","Folha (Cloud)","Cálculo das médias",3
"Contábil","Planejamento (Cloud)","Não se Aplica",3
"Pessoal","Ferramentas","Senha",3
"Pessoal","Folha (Cloud)","Configuração",3
"Contratos","Contratos (Cloud)","Não existe",3
"Contratos","Compras (Cloud)","Integrações com sistema de Contabilidade",3
"ISS","e-Nota (Cloud)","Emissão da carta de correção",3
"Educação","Educação","Fórmulas de cálculo de resultados dos períodos",3
"ISS","e-Nota (Cloud)","Configurações gerais para as pendências financeiras",3
"Pessoal","Recursos Humanos (Cloud)","Plano",3
"Contratos","Compras (Cloud)","Lances do Pregão",3
"Contábil","Contabilidade (Cloud)","Numero",3
"Contábil","Contabilidade (Cloud)","Controle",3
"Contábil","Tesouraria (Cloud)","Interação com Tributos",3
"Contratos","Monitor DF-e","Não existe",3
"Contratos","Almoxarifado","Saída",3
"Contratos","Almoxarifado","Localização física",3
"Contábil","Contabilidade (Cloud)","Liquidação",3
"Contábil","Contabilidade (Cloud)","Sistema",3
"Contábil","Contabilidade (Cloud)","Transformers",3
"Arrecadação","Tributos (Cloud)","Notificação",3
"Pessoal","Folha (Cloud)","Falta",3
"Contratos","Compras (Cloud)","Contrato",3
"Contratos","Contratos (Cloud)","Relatórios Cloud",3
"Contábil","Contabilidade (Cloud)","Relação",3
"Arrecadação","Procuradoria (Cloud)","Processos (Execuções fiscais)",3
"Contábil","Contabilidade (Cloud)","Integração",3
"Contábil","Contabilidade (Cloud)","Relatório",3
"Contábil","Planejamento (Cloud)","Relatórios gerenciais e notas do PPA",3
"Arrecadação","Tributos (Cloud)","Integração com sistemas de tesouraria",3
"Pessoal","Folha (Cloud)","Dias",3
"ISS","e-Nota (Cloud)","Perfil do contribuinte",3
"Pessoal","Folha","Cálculo da Folha",3
"Contratos","Compras (Cloud)","Iten",3
"Pessoal","Folha (Cloud)","Rescisão",3
"Contábil","Tesouraria (Cloud)","Relatórios gerenciais - recebimentos",3
"Pessoal","Folha (Cloud)","Inss",3
"Contratos","Frotas (Cloud)","Despesa",3
"Saúde","Saúde (Cloud)","Paciente",3
"Contábil","Contabilidade (Cloud)","Recibo de Retenção de Imposto",3
"Contratos","Compras (Cloud)","Documento",3
"Educação","Educação","Planejamento",3
"Contratos","Frotas (Cloud)","Acompanhamentos Mensais",3
"Pessoal","Folha (Cloud)","Período",3
"Arrecadação","Tributos (Cloud)","Imóvel",3
"Contratos","Compras (Cloud)","Despesa",3
"Plataforma","Ferramenta de Relatórios","Característica geral",3
"Contábil","Contabilidade (Cloud)","Anulação de Despesa Extra",3
"Contratos","Almoxarifado","Campos Adicionais",3
"Contratos","Compras (Cloud)","Classificar Propostas",3
"Contratos","Contratos (Cloud)","Sanções Administrativas",3
"Arrecadação","Tributos (Cloud)","Configuração de documentos",3
"Pessoal","Folha (Cloud)","Servidor",3
"Contratos","Frotas (Cloud)","Materiais e serviços",3
"Contratos","Contratos (Cloud)","Fornecimento",3
"Pessoal","Folha (Cloud)","Feria",3
"Pessoal","Folha (Cloud)","Processo",3
"Pessoal","Folha (Cloud)","Media",3
"Contábil","Contabilidade (Cloud)","SICONFI",3
"Educação","Transporte Escolar","Matrículas do usuário",3
"Educação","Transporte Escolar","Anos letivos",3
"Educação","Pais e Alunos","Aluno",3
"Pessoal","Folha (Cloud)","Endereços",3
"Arrecadação","Procuradoria (Cloud)","Modelos de Documentos",3
"Contratos","Contratos (Cloud)","Documentação apresentada no Contrato",3
"Contratos","Frotas (Cloud)","Pneus",3
"Contratos","Frotas (Cloud)","Integração",3
"Pessoal","Folha (Cloud)","Filtro",3
"Pessoal","Folha (Cloud)","Indicador",3
"Pessoal","Folha (Cloud)","Cadastro de empresas",3
"Pessoal","Folha (Cloud)","Reintegração",3
"Pessoal","Folha (Cloud)","Bloquear",3
"Contratos","Obras","Configurações da entidade",3
"Contábil","Contabilidade (Cloud)","Assinatura",3
"Arrecadação","Procuradoria (Cloud)","Petição",3
"Educação","Educação","Configuração do processo de inscrição para matrícula",3
"Pessoal","Ponto (Cloud)","Relatório de marcações",3
"Pessoal","Folha (Cloud)","Relatório de Movimentos",3
"Atendimento","Protocolo (Cloud)","Workflow Studio",3
"Contábil","Planejamento (Cloud)","Envio de dados para o Portal da Transparência",3
"Arrecadação","Procuradoria (Cloud)","Cadastro de Escritórios de Advocacia, Advogados e Procuradores.",3
"Contábil","Contabilidade (Cloud)","Cadastro de desmembramento de receitas",3
"Contábil","Contabilidade (Cloud)","Saldos Iniciais Extra orçamentários",3
"Contábil","Contabilidade (Cloud)","Bancos",3
"Contábil","Contabilidade (Cloud)","Cadastro de Em liquidação",3
"Educação","Biblioteca (Cloud)","Biblioteca",3
"Contratos","Almoxarifado","Organogramas",3
"Contratos","Almoxarifado (Mobile)","Conferência de requisições",3
"Contratos","Compras (Cloud)","Certificado de Registro Cadastral - CRC",3
"Atendimento","Cidadão Web 4 (Fly)","Configuração de Guias Unificadas",3
"Contratos","Obras","Filtro e Pesquisa",3
"Saúde","Saúde (Cloud)","Transferências de Produtos",3
"Saúde","Saúde (Cloud)","Chamada",3
"Arrecadação","Tributos (Cloud)","Vistorias",3
"Contratos","Compras (Cloud)","Pareceres",3
"Pessoal","Folha (Cloud)","Pensão",3
"Pessoal","Folha (Cloud)","Histórico",3
"Pessoal","Folha (Cloud)","Contrato",3
"Contábil","Contabilidade (Cloud)","Configurações de assinaturas",3
"Contratos","Compras (Cloud)","Interações com o Portal do Gestor",3
"Atendimento","Cidadão Web 4 (Fly)","Emissão de Certidão Negativa de Débitos de Imóvel",3
"Contratos","Frotas (Cloud)","Service layer",3
"Saúde","Saúde (Cloud)","Gestão de TFD",3
"Contratos","Frotas (Cloud)","Interação com Almoxarifado",3
"Contratos","Frotas (Cloud)","Geração arquivo SIM-AM",3
"Contratos","Compras (Cloud)","Impugnação do processo",3
"Contábil","Tesouraria (Cloud)","Cadastro de contas bancárias",3
"Arrecadação","Procuradoria (Cloud)","Controle de emissão de documentos",3
"Pessoal","Minha Folha","Comprovante de rendimentos",3
"Contratos","Contratos (Cloud)","SIM-AM",3
"Contratos","Almoxarifado","Service Layer",3
"Arrecadação","Tributos (Cloud)","Parcelas",3
"Arrecadação","Tributos (Cloud)","Script Arquivo para Gráfica",3
"Contratos","Compras (Cloud)","Gerar Processo Administrativo a partir de cotação de preço",3
"Saúde","Saúde (Cloud)","Gestão de Requisições",3
"Pessoal","Recursos Humanos (Cloud)","Concurso",3
"Pessoal","Folha (Cloud)","Planos salariais",3
"Contábil","Tesouraria (Cloud)","Integração multibancária no processo de pagamentos",3
"Contábil","Convênios","Prestação de Contas de Convênios Recebidos",3
"Saúde","Saúde (Cloud)","Exportação para o eSus",3
"Educação","Educação","Definição das notas máximas dos períodos avaliativos",3
"ISS","Gestão Fiscal","Guia de pagamento",3
"Pessoal","Folha (Cloud)","Consulta de logs de execução",3
"Atendimento","Cidadão Web 4 (Fly)","Dados de Refis",3
"Educação","Professores","Scripts",3
"Educação","Pais e Alunos","Característica geral",3
"Atendimento","Cidadão Web 4 (Fly)","Integração Sistemas Betha",3
"Arrecadação","Tributos (Cloud)","Consulta unificada da dívida ativa",3
"ISS","e-Nota Fly","Configurações gerais para guia de pagamento",3
"Educação","Biblioteca (Cloud)","Scripts",3
"Contratos","Compras (Cloud)","Locais de entrega",3
"Contratos","Compras (Cloud)","Gerenciador de integração com plataformas de Pregão Eletrônico",3
"Saúde","Saúde (Cloud)","Característica geral",3
"Contratos","Obras","Atos",3
"Contábil","Convênios","Cadastro de Comprovantes",3
"Arrecadação","Procuradoria (Cloud)","Cadastro Automático de Processos",3
"Contratos","Compras","Gerenciador de ArqJoblets",3
"Contábil","Planejamento (Cloud)","Recursos",3
"Educação","Professores (App)","Nova rotina",3
"Saúde","Saúde Domiciliar (Mobile)","Visita",3
"Pessoal","Folha (Cloud)","Tipo",3
"Contábil","Planejamento (Cloud)","Anexo II - Modelo da Planilha de Despesa por Programa e Ações",3
"Pessoal","Ponto (Cloud)","Fórmulas",3
"Contábil","Contabilidade (Cloud)","Interação com Monitor DF-e",3
"Arrecadação","Procuradoria (Cloud)","Endereços",3
"Pessoal","Ponto (Cloud)","Comunicação com relógios via TCP/IP",3
"Educação","Transporte Escolar","Scripts",3
"Pessoal","eSocial","Característica geral",3
"Arrecadação","Tributos (Cloud)","Geração de arquivo para Impressão de Carnês",3
"Contratos","Monitor DF-e","NF-e emitidas",3
"Contábil","Tesouraria (Cloud)","Contas bancárias",3
"Pessoal","Folha (Cloud)","Cadastro de Função para Fórmula",3
"Contábil","Tesouraria (Cloud)","Geração do arquivo de ordem bancária",3
"Atendimento","Cidadão Web 4 (Fly)","Scripts para Cálculo de Acréscimos",3
"Contábil","Tesouraria (Cloud)","Reconhecimento de pagamentos",3
"Arrecadação","Procuradoria (Cloud)","Integração entre o Procuradoria Cloud x Tributos Cloud",3
"Pessoal","Folha (Cloud)","Consulta do log do cálculo",3
"Plataforma","Admin","Auditoria",3
"Educação","Merenda Escolar","Controle nutricional",3
"Arrecadação","Procuradoria (Cloud)","Grupos de Trabalho",3
"Pessoal","Recursos Humanos (Cloud)","Configurações Gerais",3
"Educação","Transporte Escolar","Nova rotina",3
"Educação","Professores","Relatórios",3
"Atendimento","Protocolo (Cloud)","Endereços",3
"Arrecadação","Tributos (Cloud)","Relatório Relação dos Maiores Contribuintes Devedores",3
"Pessoal","Ponto (Cloud)","Fechamento de período",3
"Contratos","Compras (Cloud)","Relatório de logs da integração com o PNCP",3
"Contratos","Almoxarifado","Posição do Estoque",3
"Atendimento","Conecta","Relatório Histórico de Tarefas",3
"Contábil","Contabilidade (Cloud)","Consulta de saldos de despesas (widget)",3
"ISS","Livro Eletrônico","Cadastro de Convênios",3
"Contábil","Contabilidade (Cloud)","Relação de Liquidações Emitidas",3
"Saúde","Saúde Domiciliar (Mobile)","Domiciliar",3
"Educação","Educação","Critérios da lista de espera",3
"Pessoal","Folha (Cloud)","Logs de execução do sistema",3
"Contábil","Planejamento (Cloud)","Dedução da receita",3
"Atendimento","Transparência (Cloud)","Impressão de  consultas",3
"Educação","Educação","Predição de evasão e reprovação",3
"ISS","e-Nota Fly","Módulo Fiscal >> Processos >> Manutenções Fiscais >> Alterar regime tributário",3
"Contábil","Prestação de Contas","Prestação de contas SIM-AM",3
"Contratos","Compras (Cloud)","Ambiente de cotações",3
"ISS","e-Nota Fly","Gerenciador de relatórios",3
"ISS","Gestão Fiscal","DTEM",3
"ISS","e-Nota Fly","Módulo Fiscal >> Cadastros >> Pessoas >> Aba Simples nacional",3
"Contábil","Prestação de Contas","Prestação de Contas e-Sfinge",3
"Saúde","Saúde (Cloud)","Unificação/Desunificação",3
"ISS","e-Nota Fly","Módulo Fiscal >> Consultas >> Consultar notas",3
"Atendimento","Protocolo (Cloud)","Transferência de processos",3
"ISS","e-Nota (Cloud)","Serviço",3
"Contábil","Tesouraria (Cloud)","Ajustes de recursos",3
"Contábil","Contabilidade (Cloud)","Relatório de Dividas Fundadas e Precatórios",3
"ISS","Livro Eletrônico","Emissão da Nota Avulsa",3
"Contratos","Compras","Lances do processo de compra",3
"Pessoal","Folha","Relatório de Encargos do IRRF",3
"Atendimento","Cidadão Web 4 (Fly)","Emissão de Guias Unificadas",3
"Pessoal","Ponto (Cloud)","Jornada de trabalho",3
"ISS","e-Nota (Cloud)","Acesso técnico ao módulo contribuinte",3
"Saúde","Saúde (Cloud)","Resultado",3
"Pessoal","Ponto (Cloud)","Consulta de marcações",3
"Pessoal","Folha (Cloud)","Cadastro de funções",3
"Contábil","Contabilidade (Cloud)","Críticas Padrões",3
"Atendimento","Transparência (Cloud)","Links",3
"Pessoal","Folha (Cloud)","Relatório de Rescisões",3
"ISS","e-Nota (Cloud)","Consulta de nota fiscal para o fiscal",3
"Pessoal","Ponto (Cloud)","Configurações gerais",3
"Pessoal","Folha (Cloud)","Cálculo da folha mensal complementar",3
"Pessoal","Folha (Cloud)","Função de cálculo do sistema",3
"Contábil","Tesouraria (Cloud)","Emissão de notas - pagamentos",3
"Pessoal","Recursos Humanos (Cloud)","Relatório de Licença Prêmio",3
"Pessoal","Recursos Humanos (Cloud)","Favoritar Relatórios",3
"Arrecadação","Procuradoria (Cloud)","Relatórios",3
"Pessoal","Recursos Humanos (Cloud)","Entrega de EPIs",3
"Contábil","Planejamento (Cloud)","Plano Plurianual (PPA)",3
"Plataforma","Conecta","Gerencimento de Tarefas",3
"Pessoal","Folha (Cloud)","Certidão de tempo de Contribuição - anexo XV da IN 128/2022",3
"Pessoal","Minha Folha","APIs Integrações",3
"Contábil","Transparência (Cloud)","Acessibilidade",3
"Arrecadação","Tributos (Cloud)","Situação da Dívida",3
"Pessoal","Ponto (Cloud)","Gestão de marcações",3
"Pessoal","Ponto (Cloud)","APIs Integrações Ponto",3
"Contábil","Contabilidade (Cloud)","Receitas não prevista na LOA",3
"Pessoal","Folha","Integração com o Transparência Cloud",3
"Atendimento","Cidadão Web 4 (Fly)","Situação do Referente",3
"Pessoal","Ponto (Cloud)","Gerenciador de Scripts",3
"ISS","Livro Eletrônico (Cloud)","Cadastro do Código de Tributação DES-IF",3
"Pessoal","Folha (Cloud)","DIRF",3
"Arrecadação","Tributos (Cloud)","Dívidas por Contribuintes",3
"Contratos","Compras (Cloud)","APIs Integrações Compras",3
"Pessoal","Folha (Cloud)","Relatórios Folha",3
"ISS","e-Nota (Cloud)","Aplicativo",3
"Arrecadação","Tributos (Cloud)","Script - INSCOBRA - Divida Ativa Simples Nacional",3
"Arrecadação","Tributos (Cloud)","Emissão de guias unificadas",3
"Pessoal","Folha (Cloud)","Geração arquivos TCE-PR (SIAP)",3
"Contratos","Obras","Interações com o Transparência",3
"Saúde","Saúde (Cloud)","Beneficios",3
"Atendimento","Protocolo (Cloud)","Taxas",3
"ISS","e-Nota (Cloud)","Gerenciador de Scripts",3
"Pessoal","Folha (Cloud)","APIs Integrações Folha",3
"Atendimento","Documentos","APIs Integrações",3
"Saúde","Saúde Domiciliar (Mobile)","Pacientes/Domicílios e Territorios",3
"Contábil","Tesouraria (Cloud)","Conta",3
"Pessoal","Folha (Cloud)","Relatório de encargos IRRF",3
"ISS","Livro Eletrônico","Configuração da Declaração de Serviço",3
"Contratos","Contratos (Cloud)","[Serviço] - Controle de Solicitações de Fornecimento Autorizadas - Notificação",3
"Contratos","Monitor DF-e","APIs Integrações",3
"Atendimento","Protocolo (Cloud)","Solicitações de atendimento",3
"Saúde","Saúde (Cloud)","Exportações",3
"Saúde","Saúde (Cloud)","Integrações",3
"Contratos","Almoxarifado","APIs Integrações Almoxarifado",3
"Contábil","Transparência (Cloud)","Configuração de consultas",3
"Sistemas Internos","Portal de atendimento","Outros",3
"Pessoal","Pontual Fly","Outros",3
"Contábil","Tesouraria","Outros",3
"Contratos","Patrimônio","Outros",3
"Contábil","Contábil Cloud","Outros",2
"Contábil","Planejamento Cloud","Outros",2
"Saúde","Saúde Fly","Outros",2
"Plataforma","Ferramenta de Campos Adicionais","Outros",2
"Plataforma","Ferramenta Orquestrador","Outros",2
"Atendimento","Minha Cidade (App)","Outros",2
"Contábil","Custos","Outros",2
"Parceiros","Fiscalização Urbanas","Outros",2
"Educação","Educação Web","Outros",2
"Parceiros","Cemitério","Outros",2
"Contábil","Planejamento","Outros",2
"Parceiros","Sist Social","Outros",2
"Plataforma","Plataforma","Outros",2
"Educação","Biblioteca","Outros",2
"Arrecadação","Produção Primária","Outros",1
"Contratos","Estoque","Outros",1
"Contábil","Gestão Financeira Cloud","Outros",1
"Plataforma","Ferramenta de Scripts","Outros",1
"Contratos","Patrimônio Fly","Outros",1
"Pessoal","Controle de Acessos","Outros",1
"Contábil","Transparência Fly","Outros",1
"Arrecadação","Ferramentas de Conversão","Outros",1
"Parceiros","Fatura (Cloud)","Outros",1
"Não informada","Beth","Outros",1
"Parceiros","BI Saúde e Assistência Social","Outros",1
"Parceiros","Controle Interno","Outros",1
"Não informada","Conecta (BPM)","Outros",1
